Unnamed: 0,type_estate,district,price_per_sqm,posted_date,area,price,legal_document,interior,num_bedrooms,num_bathrooms,num_floors,entrance,frontage
220,3,11,~150 triệu/m²,11/05/2024,90.0,"13,5 tỷ",139,146,4,4,4,24.0,6.78865638058502
221,3,11,,13/05/2024,180.0,Thỏa thuận,252,114,6,5,4,30.0,10.0
222,5,8,"~70,31 triệu/m²",13/05/2024,32.0,"2,25 tỷ",252,42,3,4,4,12.181061122472167,6.78865638058502
225,5,12,~116 triệu/m²,12/05/2024,50.0,"5,8 tỷ",252,53,4,3,4,12.181061122472167,5.0
226,5,12,"~114,01 triệu/m²",12/05/2024,142.0,"16,19 tỷ",139,146,8,6,5,5.0,6.2
227,4,21,~280 triệu/m²,13/05/2024,75.0,21 tỷ,252,146,2,2,3,20.0,3.28
228,4,4,"~425,51 triệu/m²",13/05/2024,49.0,"20,85 tỷ",252,156,7,7,7,8.0,7.0
229,3,8,,13/05/2024,80.0,Thỏa thuận,252,42,6,6,5,24.0,5.0
230,5,10,"~151,39 triệu/m²",13/05/2024,36.0,"5,45 tỷ",253,53,4,4,5,3.0,3.88
231,5,12,"~166,67 triệu/m²",13/05/2024,90.0,15 tỷ,252,146,4,2,4,12.181061122472167,3.4
233,3,26,,11/05/2024,90.0,Thỏa thuận,139,146,6,6,4,12.181061122472167,6.78865638058502
234,4,7,"~543,48 triệu/m²",08/05/2024,230.0,125 tỷ,252,294,6,10,8,20.0,8.0
235,4,1,"~540,54 triệu/m²",13/05/2024,111.0,60 tỷ,252,42,6,6,6,12.181061122472167,6.78865638058502
236,5,12,"~157,14 triệu/m²",13/05/2024,35.0,"5,5 tỷ",252,378,3,4,5,4.0,4.5
237,5,21,"~162,33 triệu/m²",13/05/2024,43.0,"6,98 tỷ",139,146,4,6,4,3.0,6.78865638058502
238,5,20,"~90,67 triệu/m²",10/05/2024,193.0,"17,5 tỷ",139,146,6,6,3,12.181061122472167,6.78865638058502
239,5,21,"~161,9 triệu/m²",13/05/2024,42.0,"6,8 tỷ",251,146,6,6,5,12.181061122472167,3.4
240,5,20,"~118,06 triệu/m²",13/05/2024,36.0,"4,25 tỷ",139,146,4,4,5,12.181061122472167,6.78865638058502
241,3,26,,13/05/2024,100.0,Thỏa thuận,139,146,6,6,4,12.181061122472167,6.78865638058502
